Architectural engineering|Courses After 12th|Question10|Architectural engineering, also known as building engineering, is the application of engineering principles and technology to building design and construction. Definitions of an architectural engineer may refer to:  \n\n An engineer in the structural, mechanical, electrical, construction or other engineering fields of building design and construction.  \n\n A licensed engineering professional in parts of the United States.  \n\n Architectural engineers are those who work with other engineers and architects for the designing and construction of buildings|architect|optionA10	optionB10	optionC12	optionD10|optionB10
Computer Science & Engineering|Courses After 12th|Question11|Computer Science & Engineering is a rapidly growing field in engineering. It covers complete information about computer and computational processes. It is one of the sought branches of engineering. It provides good career opportunity for the science students. The popular work fields in CSE are database management, networking, core programming, web designing and software development.|comp|optionA11	optionB11	optionC13	optionD11|optionB11
Biotechnology|Courses After 12th|Question12|Biotechnology is the combination of the knowledge of biology and engineering for research & development in the field of agriculture, medical and security. There are job opportunities in the field of animal husbandry, pollution control, disease research, development of medicine and pesticides.|biotech|optionA12	optionB12	optionC14	optionD12|optionB12
Interior Design|Courses After 10th|Question13|Typical interior of one of the houses in the Folk Architecture Reservation in Vlkolínec (Slovakia)In the past, interiors were put together instinctively as a part of the process of building.[1] The profession of interior design has been a consequence of the development of society and the complex architecture that has resulted from the development of industrial processes. The pursuit of effective use of space, user well-being and functional design has contributed to the development of the contemporary interior design profession.[2] The profession of interior design is separate and distinct from the role of Interior Decorator, a term commonly used in the US. The term is less common in the UK where the profession of interior design is still unregulated and therefore, strictly speaking, not yet officially a profession.\n\n\n\nIn ancient India, architects used to work as interior designers. This can be seen from the references of Vishwakarma the architect - one of the gods in Indian mythology. Additionally, the sculptures depicting ancient texts and events are seen in palaces built in 17th century India|interiordesign|optionA13	optionB13	optionC15	optionD13|optionB13
Computer Science & Engineering|Diploma|Question13|Computer Science & Engineering is a rapidly growing field in engineering. It covers complete information about computer and computational processes. It is one of the sought branches of engineering. It provides good career opportunity for the science students. The popular work fields in CSE are database management, networking, core programming, web designing and software development.|comp|optionA11	optionB11	optionC13	optionD11|optionB11
Animation in Web Design|Courses After 10th||Animation is not just for cartoons anymore. From full-screen moving images to small hover effects, touches of animation are popping up everywhere. Animation is trendy, fun and user friendly. \n\n \n\nAnd the obstacles to using animation have started to fall. With most users on high-speed connections and the ease of creating anything from simple movements or a silly gif to several minutes of action, animations have become practical and useful web design tools. \n\n \n\n|ani_web_desg|a	b	c	d|a
Scientific modelling|Courses After 10th||Scientific modelling is a scientific activity, the aim of which is to make a particular part or feature of the world easier to understand, define, quantify, visualize, or simulate by referencing it to existing and usually commonly accepted knowledge. It requires selecting and identifying relevant aspects of a situation in the real world and then using different types of models for different aims, such as conceptual models to better understand, operational models to operationalize, mathematical models to quantify, and graphical models to visualize the subject. Modelling is an essential and inseparable part of scientific activity, and many scientific disciplines have their own ideas about specific types of modelling.[1][2] \n\nThere is also an increasing attention to scientific modelling[3] in fields such as science education, philosophy of science, systems theory, and knowledge visualization. There is growing collection of methods, techniques and meta-theory about all kinds of specialized scientific modelling. \n\n|sci_mod|a	b	c	d|a
Indian Air Force|Courses After 10th||The Indian Air Force (IAF; Devanagari: ?????? ???? ????, Bharatiya Vayu Sena) is the air arm of the Indian armed forces. It is the World's 4th largest airforce.[6] Its primary responsibility is to secure Indian airspace and to conduct aerial warfare during a conflict. It was officially established on 8 October 1932 as an auxiliary air force of the British Empire and the prefix Royal was added in 1945 in recognition of its services during World War II. After India became independent from the United Kingdom in 1947, the Royal Indian Air Force served the Dominion of India, with the prefix being dropped when India became a republic in 1950. Since independence, the IAF has been involved in four wars with neighbouring Pakistan and one with the People's Republic of China. Other major operations undertaken by the IAF include Operation Vijay, Operation Meghdoot, Operation Cactus and Operation Poomalai. Apart from conflicts, the IAF has been an active participant in United Nations peacekeeping missions. \n\nThe President of India Pranab Mukherjee serves as the ex-officio Commander-in-Chief of the IAF. The Chief of Air Staff, an Air Chief Marshal (ACM), is a four-star commander and commands the Air Force. There is never more than one serving ACM at any given time in the IAF. The rank of Marshal of the Air Force has been conferred once, to Arjan Singh, by the President of India on 26 Jan 2002 and he became first five-star rank holding officer of IAF & serves as the ceremonial chief.|ind_air|a	b	c	d|a
Video editing|Courses After 10th||The term video editing can refer to: The process of manipulating video images. Once the province of expensive machines called video editors, video editing software is now available for personal computers and workstations. Video editing includes cutting segments (trimming), re-sequencing clips, and adding transitions and other Special Effects.[1] \n\nVideo editing is the process of editing segments of motion video production footage, special effects and sound recordings in the post-production process. Motion picture film editing is a predecessor to video editing and, in several ways, video editing simulates motion picture film editing, in theory and the use of linear video editing and video editing software on non-linear editing systems (NLE). Using video, a director can communicate non-fictional and fictional events. The goals of editing is to manipulate these events to bring the communication closer to the original goal or target. It is a visual art. \n\nEarly 1950's video tape recorders (VTR) were so expensive, and the quality degradation caused by copying was so great, that 2 inch Quadruplex videotape was edited by visualizing the recorded track with ferrofluid and cutting with a razor blade or guillotine cutter and splicing with video tape. The two pieces of tape to be joined were painted with a solution of extremely fine iron filings suspended in carbon tetrachloride, a toxic and carcinogenic compound. This "developed" the magnetic tracks, making them visible when viewed through a microscope so that they could be aligned in a splicer designed for this task. \n\nImprovements in quality and economy, and the invention of the flying erase-head, allowed new video and audio material to be recorded over the material already recorded on an existing magnetic tape and was introduced into the linear editing technique. If a scene closer to the beginning of the video tape needed to be changed in length, all later scenes would need to be recorded onto the video tape again in sequence. In addition, sources could be played back simultaneously through a vision mixer (video switcher) to create more complex transitions between scenes. A popular 1970-80s system for doing that was the U-matic equipment (named for the U-shaped tape path). That system used two tape players and one tape recorder, and edits were done by automatically having the machines back up, then speed up together in synchrony, so the edit didn't roll or glitch. Later, 1980-90's came the smaller beta equipment (named for the B-shaped tape path), and more complex controllers, some of which did the synchronizing electronically. \n\n|videdit|a	b	c	d|a
Indian Army|Courses After 10th||The Indian Army (IA, Hindi: ?????? ??????, Bharatiya Thalsena) is the land-based branch and the largest component of the Indian Armed Forces. The President of India serves as Commander-in-Chief of the army, and it is commanded by the Chief of Army Staff (COAS), who is a four-star General. Two officers have been conferred the rank of Field marshal, a Five-star rank, which is a ceremonial position of great honour. The Indian Army originated from the armies of the East India Company, which eventually became the British Indian Army and finally the national army after independence. The units and regiments of the Indian Army have diverse histories and have participated in a number of battles and campaigns across the world, earning a large number of battle and theatre honours before and after Independence.[4] \n\nThe primary mission of the Indian Army is to ensure national security and unity, defending the nation from external aggression and threats, and maintaining peace and security within its borders. It conducts humanitarian rescue operations during natural calamities and other disturbances, like Operation Surya Hope, and can also be requisitioned by the government to cope with internal threats. It is a major component of national power alongside the Indian Navy and the Indian Air Force.[5] The army has been involved in four wars with neighbouring Pakistan and one with China. Other major operations undertaken by the army include Operation Vijay, Operation Meghdoot and Operation Cactus. Apart from conflicts, the army has conducted large peace time exercises like Operation Brasstacks and Exercise Shoorveer, and it has also been an active participant in numerous United Nations peacekeeping missions including the ones in Cyprus, Lebanon, Congo, Angola, Cambodia, Vietnam, Namibia, El Salvador, Liberia, Mozambique and Somalia. \n\nThe Indian Army has a regimental system, but is operationally and geographically divided into seven commands, with the basic field formation being a division. It is an all-volunteer force and comprises more than 80% of the country's active defence personnel. It is the 2nd largest standing army in the world, with 1,129,900 active troops and 960,000 reserve troops.[6] The army has embarked on an infantry modernisation programme known as Futuristic Infantry Soldier As a System (F-INSAS), and is also upgrading and acquiring new assets for its armoured, artillery and aviation branches \n\n|ind_army|a	b	c	d|a
Instrumentation|Courses After 12th||Instrumentation is the variety of measuring instruments to monitor and control a process. It is the art and science of measurement and control of process variables within a production, laboratory, or manufacturing area. \n An instrument is a device that measures a physical quantity such as flow, temperature, level, distance, angle, or pressure. Instruments may be as simple as direct reading thermometers or may be complex multi-variable process analyzers. Instruments are often part of a control system in refineries, factories, and vehicles. The control of processes is one of the main branches of applied instrumentation. Instrumentation can also refer to handheld devices that measure some desired variable. Diverse handheld instrumentation is common in laboratories, but can be found in the household as well. For example, a smoke detector is a common instrument found in most western homes. \n Instruments attached to a control system may provide signals used to operate solenoids, valves, regulators, circuit breakers, or relays. These devices control a desired output variable, and provide either remote or automated control capabilities. These are often referred to as final control elements when controlled remotely or by a control system. \n A transmitter is a device that produces an output signal, often in the form of a 4–20 mA electrical current signal, although many other options using voltage, frequency, pressure, or ethernet are possible. This signal can be used for informational purposes, or it can be sent to a PLC, DCS, SCADA system, LabVIEW or other type of computerized controller, where it can be interpreted into readable values and used to control other devices and processes in the system. \n Control instrumentation plays a significant role in both gathering information from the field and changing the field parameters, and as such are a key part of control loops. \n |ins_engg|a	b	c	d|a
